#Fri Nov  8 19:02:09 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               24              11               0               0
             121              14           8.088
             122            29.8           7.187
             123           54.03           8.327
             124          -28.41           6.645
             125            8.27           11.79
             126           58.63           7.232
             127           91.28           9.572
APV               24              11               0               3
               0           102.6           29.24
               1           23.95           24.03
               2           17.03           21.84
               3          -8.847           21.86
               4          -125.8           10.19
               5          -43.02            8.78
               6          -15.06            12.3
               7           -4.73           9.225
               8          -49.63           8.072
               9          -2.807           8.226
              10           2.577           8.857
              11          0.9267           8.456
              12          -45.81           8.471
              13           -21.8           8.535
              14            20.9           8.583
              15           33.24           8.677
              16          -22.97           9.137
              17          -8.553           7.293
              18            8.45           14.84
              19           11.23           7.307
              20           -37.1           8.607
              21          -12.25            7.17
              22           3.627           9.079
              23           14.81           7.675
              24          -31.25           8.102
              25           8.403           7.371
              26           13.28           8.402
              27           -0.97           7.476
              28          -11.87           7.555
              29           8.283            8.81
              30           17.77           7.319
              31           37.25           8.425
              32          -30.37           8.704
              33           4.423           8.385
              34           28.35           8.651
              35           23.15            8.69
              36          -26.41           8.173
              37          0.7233           7.949
              38           9.167           9.446
              39           17.65           8.154
              40          -40.53           8.905
              41       -0.003333           8.032
              42           23.47           9.446
              43            3.49           9.129
              44          -10.98           9.034
              45          -9.673           9.092
              46           12.68           8.037
              47            53.8           9.612
              48          -25.52           8.854
              49          -17.78           7.438
              50          -23.34           11.89
              51           16.31           7.031
              52          -32.14           8.617
              53          -14.84           7.528
              54           20.67           8.934
              55           13.99           6.617
              56          -24.46           7.179
              57            3.08           8.447
              58           28.36           7.858
              59           12.25           7.356
              60          -9.133           7.028
              61          -11.36           9.488
              62           11.28           7.348
              63           30.88           8.569
              64           -52.6            8.51
              65         -0.5167           7.563
              66             9.4           11.71
              67            18.8           8.905
              68          -50.36           7.671
              69           -10.6           7.951
              70           2.303            10.6
              71           20.14           8.725
              72          -24.38           8.637
              73            -5.5           6.728
              74           17.69           8.819
              75           7.433           9.193
              76          -16.44           7.888
              77          -10.68           7.825
              78            2.28           8.178
              79           37.37           8.752
              80          -29.13           8.915
              81            14.4           6.893
              82           27.49           9.912
              83           22.18           7.331
              84          -37.39           8.364
              85           -6.31           7.598
              86           11.07           8.367
              87           18.29           7.702
              88           -5.78           7.424
              89           11.02           7.853
              90           10.16           7.358
              91            8.82           7.895
              92           -4.74           7.048
              93           4.683           9.725
              94           10.99           7.132
              95           78.39           9.885
              96           -63.6           7.942
              97           -0.48           7.598
              98           -3.26           11.11
              99              19            9.82
             100          -47.66           8.266
             101           1.717           7.435
             102           -6.95           9.428
             103           7.387           8.664
             104          -26.62           8.668
             105          -2.303           8.183
             106            14.2           9.183
             107           30.23           8.789
             108          -16.23           8.573
             109           3.573           8.568
             110         -0.5433           8.405
             111           72.97           10.42
             112          -29.51           8.509
             113           6.483            7.65
             114           8.343           9.576
             115           4.193           6.987
             116          -51.05           8.221
             117          -7.887             7.2
             118         -0.4167           7.591
             119          -15.68           6.869
             120          -12.16            7.13
             121           -2.12           7.397
             122          -9.157           6.688
             123           8.483           8.318
             124          -15.48           7.154
             125           5.713           11.55
             126           20.76           7.491
             127           111.4           10.33
APV               24              11               0               4
               0           50.19           29.88
               1          -32.63              26
               2          -28.75           23.31
               3           14.75           23.55
               4          -134.7           9.624
               5          -59.06            8.52
               6          -17.33           12.29
               7           21.46           8.988
               8          -61.35           7.918
               9           -29.9            7.67
              10            2.74           8.786
              11           59.12           7.646
              12          -48.82           9.556
              13          -29.73           8.027
              14           9.507           8.298
              15           63.07           8.569
              16          -29.83           9.073
              17          -27.01           6.977
              18          -25.35           14.44
              19           41.68           7.771
              20          -64.95           8.207
              21          -11.33           7.512
              22          -24.42           9.603
              23           53.26            7.29
              24          -51.18           7.809
              25          -31.86           7.788
              26           19.27           8.049
              27           63.87            7.55
              28          -41.01           7.492
              29          -33.24           8.764
              30           12.15           7.736
              31           85.26           8.171
              32          -36.24           8.554
              33          -33.69           8.559
              34          -11.83           8.951
              35           35.03           8.432
              36          -57.82           8.204
              37          -46.26           8.029
              38           21.64           9.249
              39           62.24            8.47
              40           -30.3           8.527
              41          -17.56           7.473
              42           18.68           9.478
              43            61.6           8.634
              44          -33.32           8.586
              45           -9.18           8.744
              46           12.95           7.448
              47           90.47           9.422
              48          -41.71           8.812
              49          -43.33           7.043
              50          -11.09           12.23
              51           12.66           7.357
              52          -47.62           8.413
              53          -57.13           7.812
              54          -11.37           8.233
              55           60.69           7.262
              56          -34.98           8.133
              57          -13.04           7.711
              58           27.97           7.717
              59           68.36           7.561
              60           -44.1           6.918
              61          -33.76           10.01
              62           31.11           7.938
              63            82.9           8.349
              64          -39.81           8.529
              65          -53.93           7.496
              66           8.547           11.75
              67           37.95           9.443
              68          -45.01           8.348
              69          -12.19           7.149
              70          -3.647           9.855
              71            30.4           8.097
              72          -17.72           8.328
              73          -28.95           7.387
              74           14.02           9.168
              75            69.6           8.982
              76          -37.57           8.573
              77          -13.96           8.211
              78            8.29           7.916
              79           103.1           9.464
              80          -54.22           9.151
              81          -47.47           7.184
              82           3.213           9.875
              83            34.9           7.955
              84          -60.43           8.778
              85          -35.39           7.538
              86           1.617           8.287
              87           48.64            6.92
              88          -58.97           7.729
              89          -19.13            7.82
              90           33.97           7.013
              91           72.03           7.748
              92          -30.93           6.701
              93           -34.7           9.652
              94           44.13           7.578
              95             102           8.979
              96          -35.51           8.077
              97          -44.98           7.722
              98           14.81           11.33
              99           47.23           9.678
             100          -38.95           8.067
             101          -37.28           7.434
             102           2.083           8.924
             103           80.27           8.357
             104          -34.14           8.792
             105          -15.76           8.226
             106           18.88            8.22
             107            70.3           8.954
             108          -49.61           8.229
             109          -17.43           8.475
             110           35.35           9.511
             111           116.6           9.878
             112           -47.7           8.704
             113          -31.75           7.038
             114         -0.5867           9.642
             115           56.16           7.911
             116          -40.45           8.186
             117          -24.88           6.979
             118           14.17           7.632
             119           70.65           7.399
             120          -29.91           7.003
             121          -16.36           8.194
             122           36.56           7.685
             123           62.86           8.718
             124          -43.94           6.276
             125          -20.69           12.49
             126           36.92           7.466
             127           163.7           9.892
APV               24              11               0               5
               0           27.63           31.32
               1          -20.33           26.84
               2           8.087           24.23
               3           16.06           25.06
               4          -185.4           9.818
               5          -40.32           7.846
               6           4.283           12.03
               7           20.62           9.332
               8          -110.8           8.514
               9          -27.08            7.96
              10            63.9           9.191
              11           68.61           8.941
              12          -80.82           9.165
              13           5.727           8.044
              14           51.44           8.822
              15           49.64           8.778
              16          -76.24           8.746
              17          -56.12           7.291
              18           21.41           15.07
              19           34.77           7.489
              20          -91.58            8.39
              21          -38.52           7.332
              22            3.09           8.535
              23           62.95           7.274
              24          -103.9           7.654
              25          -14.48           7.483
              26           35.11           7.888
              27           52.03           7.448
              28          -84.22           7.564
              29           1.323           8.054
              30           49.21           7.662
              31           65.13           8.272
              32          -57.06           8.652
              33           -46.8           8.125
              34           18.94           9.415
              35            58.9           9.081
              36          -106.2            8.05
              37          -20.21           8.195
              38            30.4            8.63
              39           83.47           8.802
              40          -100.8           7.942
              41          0.6967           7.473
              42           60.11            9.86
              43           66.72           8.592
              44          -96.08           9.292
              45           30.36           8.517
              46              62           8.473
              47           65.73           9.312
              48          -83.33           8.836
              49          -58.36           6.923
              50              15           11.62
              51           73.87           7.489
              52          -90.76           8.041
              53          -31.96           7.542
              54           21.04            8.92
              55           70.09           7.191
              56          -76.68           7.678
              57          -2.677           8.224
              58           49.29            8.42
              59           61.77           8.437
              60          -73.75           6.547
              61           31.49           10.25
              62           49.06           7.309
              63           89.43           8.748
              64          -89.54           8.657
              65          -46.83           6.911
              66           25.75            11.7
              67           61.95           9.341
              68          -106.5           7.703
              69          -26.08           7.583
              70           43.65           10.42
              71           54.14            8.67
              72          -88.48           8.363
              73            1.12           7.461
              74           68.14            9.45
              75           84.44           8.578
              76          -57.34           8.446
              77           12.63           7.425
              78            61.3           8.831
              79           66.77            9.86
              80          -85.84           8.068
              81          -28.96           6.814
              82           21.17            9.59
              83           33.19           7.682
              84          -84.73           8.549
              85          -27.98           7.403
              86           8.483           8.311
              87           58.86            7.45
              88          -80.02           7.234
              89             -18           8.093
              90           49.28           7.059
              91           63.85           8.317
              92          -79.11           7.729
              93           14.47           9.669
              94           59.59            7.59
              95           95.85           9.699
              96          -100.8            8.02
              97          -49.65           7.112
              98           27.59           11.11
              99           59.13           9.878
             100          -98.95            8.12
             101          -20.25           7.381
             102           50.53           8.946
             103           58.76           8.624
             104          -78.98           8.208
             105           2.997           8.621
             106           56.36           9.155
             107           73.12           8.889
             108          -79.51           8.102
             109           15.42            8.06
             110           58.02           9.187
             111           97.15           9.426
             112          -93.84           7.862
             113          -36.31           7.337
             114           21.03           9.054
             115           50.99           7.686
             116          -114.7           7.604
             117          -39.32           7.075
             118           26.26           7.483
             119           62.01           7.189
             120          -88.57           6.846
             121          -11.05           7.122
             122            60.8           7.502
             123           56.67           8.119
             124          -55.67           7.275
             125           10.45           11.11
             126           75.67           7.517
             127           135.6           10.03
APV               24              11               0               6
               0           81.49           34.05
               1           10.01           27.74
               2           -2.16           24.96
               3           -12.3           24.45
               4          -142.3           10.77
               5          -35.66           8.186
               6          -19.41           11.85
               7           18.43           8.925
               8           -34.6           8.818
               9           6.963           7.681
              10          -6.047           8.516
              11           49.06           8.816
              12          -32.21           9.647
              13          -14.43           7.612
              14          0.6667           8.053
              15           49.67            8.99
              16          -42.06           9.036
              17           -16.9           7.212
              18          -5.777           13.89
              19           19.38           7.563
              20          -43.89           12.74
              21          -22.11           7.471
              22           -4.01           8.741
              23           23.54            7.27
              24          -51.79           8.108
              25          -13.48           7.705
              26            -0.2           7.863
              27           28.21           8.208
              28          -32.15           7.978
              29           -10.9           8.353
              30           29.94           7.322
              31            67.8           16.61
              32          -43.27           8.685
              33          -17.43           8.841
              34             7.7           8.198
              35           17.32           8.404
              36          -14.72           12.17
              37          -27.84           7.499
              38           1.707           9.029
              39           44.16           8.605
              40          -44.34           8.274
              41          -20.33           7.417
              42           8.297           9.185
              43           51.18           9.079
              44          -24.57           9.601
              45           5.267           8.071
              46           16.54           8.037
              47           62.99           9.674
              48          -24.32           9.522
              49           -5.86           7.059
              50          -22.69           11.63
              51           29.03           7.504
              52          -19.77           18.09
              53          -14.23           7.066
              54          -4.453           8.994
              55           38.82           6.783
              56          -43.31           8.121
              57          -20.55           8.293
              58           24.16           7.789
              59           43.12           8.024
              60          -22.36           7.345
              61          -12.14           8.986
              62             9.4           7.137
              63           68.89           9.195
              64          -45.85           8.655
              65            -6.6           7.729
              66           6.513           10.91
              67           31.16           8.825
              68          -24.05           8.316
              69          -8.993           7.029
              70           -1.03           9.923
              71           39.38            8.11
              72          -53.48           8.005
              73          -32.95           7.733
              74           7.917           9.169
              75           49.85           9.106
              76          -35.78           8.621
              77           4.417           7.744
              78           12.23           8.033
              79           78.39           9.935
