#Sun Feb  9 11:36:29 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = crate, slot, mpd, adc_ch, CM min, CM max
          24          11          13           7         374         464
          24          11          13           8         470         569
          24          11          13           9         488         585
          24          11          13          10         313         468
          24          11          13          11         306         443
          25          11           9           5         342         406
          25          11           9           6         546         634
          25          11           9           7         535         629
          25          11           9           8         502         609
          25          11           9           9         480         581
          25          11          10           5         558         667
          25          11          10           6         509         599
          25          11          10           7         334         433
          25          11          10           8           0           0
          25          11          10           9         389         473
          24          11          14           0         598         771
          24          11          14           1         319         409
          24          11          14           2         501         610
          24          11          14           3         584         670
          24          11          14           4         418         506
          24          11          14           5         628         730
          24          11          14           6         537         634
          24          11          14           7         524         629
          24          11          14           8         652         742
          24          11          14           9         438         524
          24          11          14          10         670         776
          24          11          14          11         600         741
          25          11           9           0         664         777
          25          11           9           1         595         700
          25          11           9           2         602         708
          25          11           9           3         626         734
          25          11           9           4         561         675
          25          11          10          10         221         241
          25          11          10          11         413         549
          25          11          10          12         438         538
          25          11          10          13         471         565
          25          11          10          14         586         685
          24          11          15           0         646         823
          24          11          15           1         652         747
          24          11          15           2         476         570
          24          11          15           3         654         746
          24          11          15           4         578         696
          24          11          15           5         577         670
          24          11          15           6         549         700
          24          11          15           7         613         712
          24          11          15           8         584         667
          24          11          15           9         672         778
          24          11          15          10         584         674
          24          11          15          11         494         621
          25          11          11           0         479         610
          25          11          11           1         583         690
          25          11          11           2         370         476
          25          11          11           3         494         599
          25          11          11           4         590         696
          25          11          11           8         483         607
          25          11          11           9         517         619
          25          11          11          10         579         690
          25          11          11          11         499         605
          25          11          11          12         469         579
          25          11          12           0         489         636
          25          11          12           1         815         919
          25          11          12           2         578         681
          25          11          12           3         569         662
          25          11          12           4         675         785
          25          11          12           5         482         588
          25          11          12           6         504         608
          25          11          12           7         596         693
          25          11          12           8         646         755
          25          11          12           9         622         723
          25          11          12          10         563         677
          25          11          12          11         351         471
          25          11          16          10         568         667
          25          11          16          11         478         602
          25          11          16          12         590         709
          25          11          16          13         566         687
          25          11          16          14         576         688
          25          11          17           0         395         558
          25          11          17           1         399         564
          25          11          17           2         434         563
          25          11          17           3         256         344
          25          11          17           4         414         564
          25          11          13           0         399         527
          25          11          13           1         456         561
          25          11          13           2         458         612
          25          11          13           3         567         682
          25          11          13           4         419         540
          25          11          13           5         435         568
          25          11          13           6         519         653
          25          11          13           7         480         606
          25          11          13           8         542         649
          25          11          13           9         526         636
          25          11          13          10         502         623
          25          11          13          11         491         610
          25          11          16           5         481         609
          25          11          16           6         350         463
          25          11          16           7         384         502
          25          11          16           8         483         597
          25          11          16           9         449         588
          25          11          17           5         529         660
          25          11          17           6         364         469
          25          11          17           7         493         597
          25          11          17           8         477         581
          25          11          17           9         540         656
          25          11          14           0         273         412
          25          11          14           1         479         571
          25          11          14           2         532         659
          25          11          14           3         526         630
          25          11          14           4         524         638
          25          11          14           5           0           0
          25          11          14           6         522         725
          25          11          14           7         487         621
          25          11          14           8         568         725
          25          11          14           9         636         755
          25          11          14          10         549         670
          25          11          14          11         497         629
          25          11          16           0         836         972
          25          11          16           1         831         983
          25          11          16           2         986        1088
          25          11          16           3         904        1053
          25          11          16           4         888        1056
          25          11          17          10         511         634
          25          11          17          11         436         563
          25          11          17          12         448         586
          25          11          17          13         498         614
          25          11          17          14         483         600
          25          11          15           0         566         709
          25          11          15           1         471         576
          25          11          15           2         607         720
          25          11          15           3         503         609
          25          11          15           4         416         518
          25          11          15           5         771         942
          25          11          15           6         565         690
          25          11          15           7         572         681
          25          11          15           8           0           0
          25          11          15           9         394         505
          25          11          15          10         587         741
          25          11          15          11         501         689
          25          11          18           0         500         628
          25          11          18           1         398         547
          25          11          18           2         250         356
          25          11          18           3         350         561
          25          11          18           4         447         562
          25          11          18           8         441         605
          25          11          18           9         477         606
          25          11          18          10         500         624
          25          11          18          11         551         689
          25          11          18          12         445         571
          25          11          19           0         437         654
          25          11          19           1         562         761
          25          11          19           2         490         683
          25          11          19           3         564         762
          25          11          19           4         513         710
          25          11          19           5         408         589
          25          11          19           6         477         682
          25          11          19           7         548         728
          25          11          19           8         465         644
          25          11          19           9         483         660
          25          11          19          10         360         558
          25          11          19          11         548         755
          25          11          23          10         412         648
          25          11          23          11         443         575
          25          11          23          12         502         712
          25          11          23          13         426         636
          25          11          23          14         454         665
          25          11          24           0         319         556
          25          11          24           1         262         512
          25          11          24           2         322         562
          25          11          24           3         335         575
          25          11          24           4         346         591
          25          11          20           0         782         934
          25          11          20           1         761         882
          25          11          20           2         760         900
          25          11          20           3         711         816
          25          11          20           4         727         835
          25          11          20           5         713         817
          25          11          20           6         764         891
          25          11          20           7         535         659
          25          11          20           8           0           0
          25          11          20           9         536         645
          25          11          20          10         812         925
          25          11          20          11         538         688
          25          11          23           5         411         599
          25          11          23           6         523         740
          25          11          23           7         298         527
          25          11          23           8         284         488
          25          11          23           9         348         572
          25          11          24           5         407         665
          25          11          24           6         321         565
          25          11          24           7         257         496
          25          11          24           8         410         649
          25          11          24           9         336         580
          25          11          21           0         539         633
          25          11          21           1         565         678
          25          11          21           2         479         603
          25          11          21           3         639         745
          25          11          21           4         571         667
          25          11          21           5         549         653
          25          11          21           6         530         641
          25          11          21           7         414         511
          25          11          21           8         605         722
          25          11          21           9         565         677
          25          11          21          10         417         538
          25          11          21          11         619         743
          25          11          23           0         515         638
          25          11          23           1         513         619
          25          11          23           2         523         632
          25          11          23           3         399         506
          25          11          23           4         411         515
          25          11          24          10         485         642
          25          11          24          11         637         836
          25          11          24          12         322         442
          25          11          24          13         330         509
          25          11          24          14         515         646
          25          11          22           0         592         705
          25          11          22           1         561         660
          25          11          22           2         595         723
          25          11          22           3         460         559
          25          11          22           4         488         586
