#Sun Feb  9 11:36:29 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
              83           1.252           6.923
              84           -1.02           7.987
              85         0.02721           7.001
              86         -0.9116           7.776
              87           1.116            6.08
              88           1.197           7.243
              89         -0.4626           8.175
              90          0.9116           7.404
              91          0.9592           7.644
              92          -1.408           7.395
              93           1.891           9.397
              94         0.08163           6.172
              95          -1.361           8.922
              96          -0.551           8.505
              97          -1.612           7.838
              98           4.347           10.21
              99           3.265           9.338
             100           -1.66           8.252
             101          0.8027           7.333
             102           3.884           9.684
             103          0.8027           8.644
             104          -1.497           8.046
             105           0.102           7.703
             106           2.327           8.099
             107              -1           9.099
             108          -1.884           8.052
             109         -0.8299           7.896
             110          0.4354           8.495
             111               2           9.983
             112         -0.6531           8.033
             113         -0.1156           7.752
             114          -1.952           9.028
             115         -0.9524           7.102
             116         0.06803           7.141
             117         -0.1769           7.681
             118           1.102           7.482
             119         -0.5986           7.738
             120         -0.1156           6.963
             121         -0.4966           7.231
             122          -1.007           7.136
             123          0.6395           7.492
             124          -1.218           6.667
             125          -2.367           11.25
             126          -1.245            6.35
             127          0.4694           8.813
APV               58              11               0               3
               0           13.44           26.99
               1           6.231           24.29
               2         -0.5306           21.35
               3         -0.5374           22.07
               4          -1.633           9.962
               5          -1.442           8.323
               6          -1.143           12.09
               7           3.891           9.538
               8           1.592           9.024
               9          0.7415           7.705
              10         -0.1156           9.369
              11         -0.5646            9.22
              12          -1.626           9.845
              13            2.98           8.393
              14          -0.619           8.638
              15           1.116           9.584
              16         -0.3265           8.755
              17          0.7619           7.955
              18          -3.469           15.22
              19           1.034           7.692
              20          -1.707           8.121
              21           -2.51           8.055
              22          0.1973           9.307
              23          -2.136           7.383
              24          -1.769           8.044
              25         -0.1837           8.321
              26          -1.156           7.423
              27               2           7.623
              28          -1.633           7.643
              29         -0.2041           8.182
              30           2.224            7.86
              31          0.6599            8.37
              32          0.4898           8.707
              33            1.49           8.818
              34           1.694           8.242
              35          0.7891           8.039
              36          -1.714           8.639
              37          -1.837            8.04
              38          0.5306           8.761
              39           2.197           9.523
              40          -3.531           7.943
              41          -0.483           7.485
              42          0.2177           9.675
              43          -1.469           9.286
              44          0.4558           9.168
              45          -3.388           8.267
              46          0.8776           7.875
              47          0.2993           9.818
              48          -2.544           8.268
              49          -2.565           7.078
              50         -0.4014           11.61
              51          -2.027           6.522
              52          -2.027            8.25
              53         -0.8435           8.191
              54          0.3537           9.371
              55         -0.5442           6.766
              56          -1.796           7.757
              57          -1.673           7.877
              58           1.401           7.689
              59           2.599           7.798
              60          -1.224           6.849
              61           1.184           9.285
              62           0.102           7.126
              63           4.082           8.864
              64          -1.864           8.419
              65          -1.952           8.065
